T10,Public Expenditure on Education (2021),,,
Region/Country/Area,,Year,Series,Value
356,India,2005,All staff compensation as % of total expenditure in public institutions (%),86.2
356,India,2005,Capital expenditure as % of total expenditure in public institutions (%),4.8
356,India,2005,Public expenditure on education (% of GDP),3.2
356,India,2010,Public expenditure on education (% of GDP),3.4
356,India,2015,Public expenditure on education (% of GDP),3.3
356,India,2016,Basic access to computers by level of education: Primary,10.2
356,India,2016,Basic access to computers by level of education: Lower secondary,36
356,India,2016,Basic access to computers by level of education: Upper secondary,68
356,India,2016,Public expenditure on education (% of GDP),3.5
356,India,2020,Basic access to computers by level of education: Primary,18.9
356,India,2020,Basic access to computers by level of education: Lower secondary,43
356,India,2020,Basic access to computers by level of education: Upper secondary,78
360,Indonesia,2005,Public expenditure on education (% of GDP),2.9
360,Indonesia,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),33.6
360,Indonesia,2010,All staff compensation as % of total expenditure in public institutions (%),54.5
360,Indonesia,2010,Capital expenditure as % of total expenditure in public institutions (%),11.9
360,Indonesia,2010,Public expenditure on education (% of GDP),2.8
360,Indonesia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),24.1
360,Indonesia,2015,All staff compensation as % of total expenditure in public institutions (%),64.1
360,Indonesia,2015,Capital expenditure as % of total expenditure in public institutions (%),11.9
360,Indonesia,2015,Public expenditure on education (% of GDP),3.6
360,Indonesia,2017,Basic access to computers by level of education: Primary,32
360,Indonesia,2017,Basic access to computers by level of education: Lower secondary,42
360,Indonesia,2017,Basic access to computers by level of education: Upper secondary,67
360,Indonesia,2017,Public expenditure on education (% of GDP),2.7
360,Indonesia,2018,Basic access to computers by level of education: Primary,40.1
360,Indonesia,2018,Basic access to computers by level of education: Lower secondary,48
360,Indonesia,2018,Public expenditure on education (% of GDP),3
360,Indonesia,2019,Public expenditure on education (% of GDP),2.8
364,Iran (Islamic Republic of),2005,Public expenditure on education (% of GDP),4.1
364,Iran (Islamic Republic of),2010,Public expenditure on education (% of GDP),3.7
364,Iran (Islamic Republic of),2012,Basic access to computers by level of education: Primary,45.5
364,Iran (Islamic Republic of),2012,Basic access to computers by level of education: Lower secondary,60
364,Iran (Islamic Republic of),2012,Basic access to computers by level of education: Upper secondary,90
364,Iran (Islamic Republic of),2012,Public expenditure on education (% of GDP),3.2
364,Iran (Islamic Republic of),2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.9
364,Iran (Islamic Republic of),2014,All staff compensation as % of total expenditure in public institutions (%),67.6
364,Iran (Islamic Republic of),2014,Capital expenditure as % of total expenditure in public institutions (%),6.5
364,Iran (Islamic Republic of),2014,Public expenditure on education (% of GDP),2.8
364,Iran (Islamic Republic of),2015,Capital expenditure as % of total expenditure in public institutions (%),4.2
364,Iran (Islamic Republic of),2015,Public expenditure on education (% of GDP),2.8
364,Iran (Islamic Republic of),2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
364,Iran (Islamic Republic of),2019,All staff compensation as % of total expenditure in public institutions (%),81.6
364,Iran (Islamic Republic of),2019,Capital expenditure as % of total expenditure in public institutions (%),5.9
364,Iran (Islamic Republic of),2019,Public expenditure on education (% of GDP),3.7
372,Ireland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),17.3
372,Ireland,2005,All staff compensation as % of total expenditure in public institutions (%),74.2
372,Ireland,2005,Capital expenditure as % of total expenditure in public institutions (%),8.4
372,Ireland,2005,Public expenditure on education (% of GDP),4.5
372,Ireland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.7
372,Ireland,2010,All staff compensation as % of total expenditure in public institutions (%),71.6
372,Ireland,2010,Capital expenditure as % of total expenditure in public institutions (%),8.7
372,Ireland,2010,Public expenditure on education (% of GDP),6
372,Ireland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.1
372,Ireland,2015,All staff compensation as % of total expenditure in public institutions (%),78.1
372,Ireland,2015,Capital expenditure as % of total expenditure in public institutions (%),6.9
372,Ireland,2015,Public expenditure on education (% of GDP),3.8
372,Ireland,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),40.3
372,Ireland,2018,All staff compensation as % of total expenditure in public institutions (%),54.5
372,Ireland,2018,Capital expenditure as % of total expenditure in public institutions (%),5.2
372,Ireland,2018,Public expenditure on education (% of GDP),3.4
376,Israel,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),25.1
376,Israel,2005,All staff compensation as % of total expenditure in public institutions (%),68.8
376,Israel,2005,Capital expenditure as % of total expenditure in public institutions (%),6.1
376,Israel,2005,Public expenditure on education (% of GDP),5.8
376,Israel,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.7
376,Israel,2010,All staff compensation as % of total expenditure in public institutions (%),72.9
376,Israel,2010,Capital expenditure as % of total expenditure in public institutions (%),8.4
376,Israel,2010,Public expenditure on education (% of GDP),5.5
376,Israel,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.5
376,Israel,2015,All staff compensation as % of total expenditure in public institutions (%),75.3
376,Israel,2015,Capital expenditure as % of total expenditure in public institutions (%),9.2
376,Israel,2015,Basic access to computers by level of education: Primary,85
376,Israel,2015,Basic access to computers by level of education: Lower secondary,85
376,Israel,2015,Basic access to computers by level of education: Upper secondary,85
376,Israel,2015,Public expenditure on education (% of GDP),5.9
376,Israel,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.2
376,Israel,2016,All staff compensation as % of total expenditure in public institutions (%),75.4
376,Israel,2016,Capital expenditure as % of total expenditure in public institutions (%),9.4
376,Israel,2016,Basic access to computers by level of education: Primary,85
376,Israel,2016,Basic access to computers by level of education: Lower secondary,85
376,Israel,2016,Basic access to computers by level of education: Upper secondary,85
376,Israel,2016,Public expenditure on education (% of GDP),5.9
376,Israel,2018,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),16.5
376,Israel,2018,All staff compensation as % of total expenditure in public institutions (%),72.3
376,Israel,2018,Capital expenditure as % of total expenditure in public institutions (%),11.2
376,Israel,2018,Public expenditure on education (% of GDP),6.2
380,Italy,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.9
380,Italy,2005,All staff compensation as % of total expenditure in public institutions (%),71.9
380,Italy,2005,Capital expenditure as % of total expenditure in public institutions (%),7.2
